"
Michel LamarcheLa Presse CanadienneMontréal",2018-01-05 07:27EST,Hockey
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-05 07:36EST,Faits divers
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-01-05 07:47EST,Critiques
"
Hélène BarilLa Presse",2018-01-05 07:47EST,Québec
"
Martin VallièresLa PresseSuivre @martinvalliere",2018-01-05 07:49EST,Marchés
"
Agence France-PresseMadrid",2018-01-05 07:53EST,Europe
"
Jeiel Onel Mézil, Gabriel BélandLa PresseSuivre @gabrielbeland",2018-01-05 07:57EST,Actualités
"
Agence France-PresseBarcelone",2018-01-05 08:06EST,Soccer
"
Park Chan-KyongAgence France-PresseSéoul",2018-01-05 08:18EST,Asie & Océanie
"
Erwan LUCAS, Julie CHARPENTRATAgence France-PresseParis, San Francisco",2018-01-05 08:40EST,Techno
"
La Presse CanadienneMontréal",2018-01-05 09:01EST,Entreprises
"
Olivia LévyLa PresseSuivre @OliviaLevy",2018-01-05 09:07EST,Mode
"
La Presse CanadienneOttawa",2018-01-05 09:09EST,Économie
"
",2018-01-05 09:16EST,Marchés
"
Siavosh GHAZIAgence France-PresseTÉHÉRAN",2018-01-05 09:22EST,Moyen-Orient
"
Ivan CouronneAgence France-PresseWASHINGTON",2018-01-05 09:30EST,États-Unis
"
Marie-Claude LortieLa Presse",2018-01-05 09:55EST,Restaurants
"
Agence France-PresseJAKARTA",2018-01-05 09:58EST,Découvertes
"
Associated PressLOS ANGELES",2018-01-05 10:22EST,Télévision
"
Agence France-PressePerth, Australie",2018-01-05 10:39EST,Tennis
"
Agence France-PresseOttawa",2018-01-05 10:57EST,Économie
"
Agence France-PresseNew York",2018-01-05 11:09EST,États-Unis
"
Agence France-PresseGenève",2018-01-05 11:05EST,Médecine
"
La Presse Canadienne",2018-01-05 11:35EST,Arts visuels
"
Agence France-PresseStockholm",2018-01-05 11:48EST,Autres alcools
"
Mélanie MarquisLa Presse CanadienneOTTAWA",2018-01-05 12:05EST,Politique canadienne
"
Agence France-PresseKano",2018-01-05 12:31EST,Afrique
"
La Presse CanadienneOTTAWA",2018-01-05 12:44EST,Politique canadienne
"
Alexandre Geoffrion-McInnisLa Presse Canadienne",2018-01-05 13:00EST,Ski alpin
"
Elliot SpagatAssociated PressSAN DIEGO",2018-01-05 13:26EST,États-Unis
"
Agence France-PresseNEW YORK",2018-01-05 13:40EST,Télévision
