http://m.ledevoir.com/article-516665,Le BEI enquête sur la mort d’un homme détenu dans une réserve crie ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-516666,Hausse du nombre de chiens rendus malades par le cannabis ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-516667,Montréal: disparition des sacs de plastique léger ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-516668,"2017, année la plus sûre pour le transport aérien ","

Agence France-Presse 
",societe
http://m.ledevoir.com/article-516669,Le Canadien encaisse un cinquième revers de suite contre les Sharks ,"
Michel Lamarche - La Presse canadienne
",sports
http://m.ledevoir.com/article-516670,Tragédie de Lac-Mégantic: la Couronne a terminé sa plaidoirie ,"
Stéphanie Marin - La Presse canadienne
",societe
http://m.ledevoir.com/article-516671,La qualité de l’air à Pékin s’est améliorée en 2017 ,"

Agence France-Presse 
",societe
http://m.ledevoir.com/article-516672,Des dizaines de milliers de migrants menacés d’expulsion en Israël ,"

Agence France-Presse 
",monde
http://m.ledevoir.com/article-516673,Bourse de Toronto: de faibles gains et une grande volatilité en 2018 ,"
David  Hodges  - La Presse canadienne
",economie
http://m.ledevoir.com/article-516674,Trump promet un soutien aux Iraniens «le moment venu» ,"

Agence France-Presse 
",monde
http://m.ledevoir.com/article-516675,La tempête Eleanor entraîne de nombreuses perturbations en Europe ,"
Lucie Peytermann - Agence France-Presse
",societe
http://m.ledevoir.com/article-516676,Le Grincheux du 3 janvier ,"

Pascal 
",societe
http://m.ledevoir.com/article-516677,L’éolien offre de nouvelles carrières aux travailleurs du pétrole en Alberta ,"
Bill Graveland - La Presse canadienne
",economie
http://m.ledevoir.com/article-516678,L’armée d’élite du régime iranien proclame la fin de la «sédition» ,"
Siavosh Ghazi - Agence France-Presse
",monde
http://m.ledevoir.com/article-516679,L’ex-otage Joshua Boyle comparaît devant le tribunal ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-516680,Corée du Nord: la stratégie américaine en question après les ouvertures intercoréennes ,"
Dave Clark - Agence France-Presse
",monde
http://m.ledevoir.com/article-516682,Êtes-vous bien au fait de l'actualité? ,"

 Le Devoir avec La Presse canadienne
",societe
http://m.ledevoir.com/article-516683,Une faille de sécurité dans des processeurs Intel ,"

Agence France-Presse 
",societe
http://m.ledevoir.com/article-516684,«Eleanor» en images ,"
",videos
http://m.ledevoir.com/article-516685,"La hausse du salaire minimum éliminera 60 000 emplois, croit la Banque du Canada ","

La Presse canadienne 
",economie
http://m.ledevoir.com/article-516686,La Grèce se lance dans la bataille contre les sacs en plastique léger ,"

Agence France-Presse 
",societe
http://m.ledevoir.com/article-516687,L’écoute en continu dope les ventes de chansons aux États-Unis ,"
Shaun Tandon - Agence France-Presse
",culture
http://m.ledevoir.com/article-516688,Trump se lâche contre son  ex-conseiller Bannon ,"
Jérôme Cartillier - Agence France-Presse
",monde
http://m.ledevoir.com/article-516689,Ils ont piqué notre curiosité ,"

Fabien Deglise
",lire
http://m.ledevoir.com/article-516690,"Laudate Dominum, oeuvres chorales de Peteris Vasks, Choeur de la Radio de Lettonie, Sinfonietta Riga, Sigvards Klava ","

Christophe Huss
",culture
http://m.ledevoir.com/article-516691,Macron annonce une loi contre les «fausses nouvelles» ,"
Jacques Klopp - Agence France-Presse
",monde
http://m.ledevoir.com/article-516692,Une «intense» tempête attendue sur le Québec ,"

La Presse canadienne 
",societe
http://m.ledevoir.com/article-516693,Le Grincheux du 4 janvier ,"

Pascal 
",societe
http://m.ledevoir.com/article-516694,Affaire russe: un ex-collaborateur de Trump attaque le procureur en justice ,"

Agence France-Presse 
",monde
